Attraction,Description,Country,Continent
Jumba la Mtwana,"These Swahili ruins, just north of Mtwapa Creek, have as much archaeological grandeur as the more famous Gede ruins. Jumba la Mtwana means ‘Big House of…",Kenya,Africa
Marafa Depression,One of the more intriguing sights inland from the north Kenyan coast is Hell’s Kitchen or Nyari (‘the place broken by itself’). About 30km northeast of…,Kenya,Africa
Kazuri Beads & Pottery Centre,"An interesting diversion in Karen, this craft centre was started by an English expat in 1975 as a place where single mothers could learn a marketable…",Kenya,Africa
Shetani Lava Flows,"About 4km west of the Chyulu gate of Tsavo West National Park, on the road to Amboseli, are the spectacular Shetani lava flows. ‘Shetani’ means ‘devil’ in…",Kenya,Africa
Elsamere,"Stippled with sisal, yellow fever trees and candelabra euphorbia, this is the former home of the late Joy Adamson of Born Free fame. She bought the house…",Kenya,Africa
Haller Park,"This lovely wildlife sanctuary, part of the Baobab Adventure complex, includes a fish farm and reptile park. Guided walks around the park last about 1½…",Kenya,Africa
Vuma Cliffs,"Just outside the village of Takaungu, you fly on the back of a motorbike down dirt roads, past spiky fields of sisal and giant baobabs towering above…",Kenya,Africa
Colobus Conservation Centre,"Notice the monkeys clambering on rope ladders over the road? The 'colobridges' are the work of the Colobus Conservation Centre, which aims to protect the…",Kenya,Africa
Gede Ruins,"This extensive collection of 13th- to 17th-century coral palaces, mosques and town houses – some of Kenya's most important Swahili ruins – lies quietly in…",Kenya,Africa
Arabuko Sokoke Forest Reserve,This 420-sq-km tract of natural forest – the largest indigenous coastal forest remaining in East Africa – is most famous as the home of the golden-rumped…,Kenya,Africa
Crescent Island,"This private island sanctuary can be reached by boat, or by driving across the narrow, swampy causeway from Sanctuary Farm. It's one of the few places in…",Kenya,Africa
Go-Down Arts Centre,"The Go-Down Arts Centre, a converted warehouse in Industrial Area, contains 10 separate studios and is a hub for Nairobi's burgeoning arts scene, bringing…",Kenya,Africa
Masai Mara National Reserve,"The world-renowned Masai Mara National Reserve needs little in the way of introduction. Its tawny, wildlife-stuffed savannahs are familiar to anyone who…",Kenya,Africa
Mt Elgon National Park,"Straddling the Ugandan border and peaking with Koitoboss (4187m), Kenya’s second-highest peak, and Uganda’s Wagagai (4321m), the slopes of Mt Elgon are a…",Kenya,Africa
Lake Nakuru National Park,"Just two hours' drive from Nairobi, Lake Nakuru is among Kenya's finest national parks. Flanked by rocky escarpments, pockets of forest and at least one…",Kenya,Africa
Kakamega Forest National Reserve,"All that's now left in Kenya of the massive Guineo–Congolian rainforest that once covered much of western Kenya, the Kakamega Forest National Reserve,…",Kenya,Africa
Saiwa Swamp National Park,"North of Kitale, the small, rarely visited Saiwa Swamp National Park is a real treat – as long as you're not here for the Big Five, this is a chance to…",Kenya,Africa
Shompole Conservancy,"In a wild and remote corner of the country, between the Rift Valley lakes of Magadi (in Kenya) and Natron (Tanzania), Shompole is one of southern Kenya's…",Kenya,Africa
Meru National Park,"Marred by serious poaching in the 1980s and the subsequent murder of George Adamson in 1989, Meru National Park fell off the tourist map and has never…",Kenya,Africa
Kakamega Forest Reserve,"Kakamega Forest Reserve is the more degraded area of the forest, yet it's the more popular area with tourists. The five-hour return hike to Lirhanda Hill…",Kenya,Africa
Normatior (Observation Hill),This pyramid-shaped hill is one of the only places in the park where you can get out and walk. The summit provides an ideal lookout from which to…,Kenya,Africa
Samburu National Reserve,"The most popular park in northern Kenya, Samburu's dominant feature is the Ewaso Ngiro River, which slices through the otherwise bone-dry country. The…",Kenya,Africa
Bofa Beach,"Bofa Beach is a wide slash of white sand, with swaying palms and rolling Indian Ocean surf. It's the stuff of which fantasies are made. A path to the left…",Kenya,Africa
Elephant Research Camp,"The elephants of Amboseli are among the most studied in the world, thanks largely to the work of Dr Cynthia Moss, whose books include The Amboseli…",Kenya,Africa
African Shirt Company,"In 2009, Joan Hughes and Lindi Campbell Clause, two designers from Ireland and Kenya, set up this project which uses village workshops to employ and train…",Kenya,Africa
Hyrax Hill Prehistoric Site,"This archaeological site, 4km outside Nakuru, is a great spot for a peaceful amble away from the rhinos and tourists. It contains a museum and the remains…",Kenya,Africa
Hell’s Gate Gorge,"The gorge that runs through the heart of the park is a wide, deep valley hemmed in by sheer, rusty-hued rock walls. Marking its eastern entrance is…",Kenya,Africa
Aberdare National Park,"Herds of wildlife thunder over an open African horizon, elephants emerge from a thicket of plants and the mysterious black rhino munches tranquilly on…",Kenya,Africa
Mt Susua,"With a crater that’s even more of a lost world than that on nearby Mt Longonot, this unique volcano is well worth the considerable effort of visiting. The…",Kenya,Africa
Egerton Castle,"If you want to muse on lost love and where it goes, visit Egerton Castle on the outskirts of Njoro. A replica of Tatton Hall in England, the castle was…",Kenya,Africa
Menengai Crater,"With transport and 15 minutes to play with, you can be out of the grimy streets of Nakuru and standing on the rim of Menengai Crater, a 485m-high natural…",Kenya,Africa
Bomas of Kenya,"The talented resident artists at this cultural centre perform traditional dances and songs taken from the country’s various tribal groups, including…",Kenya,Africa
Mt Kenya National Park,"Africa’s second-highest mountain is also one of its most beautiful. Here, mere minutes from the equator, glaciers carve out the throne of Ngai, the old…",Kenya,Africa
South Island National Park,"Designated a World Heritage Site by Unesco in 1997, this 39-sq-km purplish volcanic island is completely barren (minus some rock art) and uninhabited,…",Kenya,Africa
Longonot National Park,"One of the shapeliest peaks in all the Rift Valley, Mt Longonot (2776m) and its serrated crater rim offer fabulous views. The dormant volcano rises 1000m…",Kenya,Africa
Mnarani,"The partly excavated, atmospheric ruins of the Swahili city of Mnarani are high on a bluff just west of the old ferry landing stage on the southern bank…",Kenya,Africa
Mbulia Conservancy,"The 48-sq-km Mbulia Conservancy occupies part of an important elephant corridor, and is also an extension of the ecosystem inhabited by Tsavo West…",Kenya,Africa
Kitale Museum,"Founded on the collection of butterflies, birds and ethnographic memorabilia left to the nation in 1967 by the late Lieutenant Colonel Stoneham, this…",Kenya,Africa
Railway Museum,"The main collection here is housed in an old railway building and consists of relics from the East African Railway. There are train and ship models,…",Kenya,Africa
Kenyatta International Conference Centre,"Nairobi’s signature building was designed as a fusion of modern and traditional African styles, though the distinctive saucer tower looks a little dated…",Kenya,Africa
Lake Bogoria National Reserve,"Lake Bogoria is backed by the bleak Siracho Escarpment, and moss-green waves roll down its rocky, barren shores. A road that becomes a rough track (and…",Kenya,Africa
Lower Gorge,"Rising from the main gorge’s southern end is the large Central Tower, an unusual volcanic plug. A picnic site and ranger’s post are close by, from where a…",Kenya,Africa
Chaimu Crater & Roaring Rocks,"Southeast of Kilaguni Serena Lodge, these two natural features offer stunning views of the Chyulu Hills and birds of prey circling high above the plains…",Kenya,Africa
African Heritage House,"Designed by Alan Donovan, an African-heritage expert and gallery owner, this stunning exhibition house overlooking Nairobi National Park can be visited by…",Kenya,Africa
Olorgesailie Prehistoric Site,"Travelling between Lake Magadi and Nairobi, take the turn-off for the Olorgesailie Prehistoric Site. Several important archaeological finds were made by…",Kenya,Africa
Ivory-burning Site,This is one the most important landmarks in the annals of conservation: it was here that Kenyan president Daniel arap Moi made a dramatic statement to…,Kenya,Africa
Hell's Gate National Park,"Dry, dusty and dramatic but infinitely peaceful, Hell's Gate is that rare Kenyan park made for bicycles and exploring on foot. Large carnivores are very…",Kenya,Africa
Rukinga Wildlife Sanctuary,"Begun in 1998, the 80,000-acre Rukinga Wildlife Sanctuary, at the heart of the Kasigau ecosystem, is reliable elephant country – Kasigau lies along a…",Kenya,Africa
Mkwiro,"Mkwiro is a small village on the unvisited eastern end of Wasini Island. The gorgeous hour-long walk from Wasini village, through woodlands, past tiny…",Kenya,Africa
Voi War Cemetery,"On the north side of the road just before the turn-off to Voi Gate on the eastern outskirts of town, this well-tended cemetery contains 137 graves,…",Kenya,Africa
Tsavo Conservancy,"Although it's taking some time to take off, the area between Tsavo West National Park and the Taita Hills is one to watch when it comes to the fusion of…",Kenya,Africa
Treasures of Africa Museum,"This private museum is the personal collection of Mr Wilson, a former colonial officer in Uganda and quite a character. Based mainly on his experiences…",Kenya,Africa
Malindi Marine National Park,"The oldest marine park in Kenya covers 213 sq km of powder-blue fish, organ-pipe coral, green sea turtles and beds of Thalassia seagrass. If you’re…",Kenya,Africa
Donkey Sanctuary,"A man without a donkey is a donkey, claims one Swahili proverb. Or, as the staff of this sanctuary might tell you, a man who doesn’t look after his donkey…",Kenya,Africa
Leviathan,"At 12km in total length, the aptly named Leviathan is one of the longest lava tubes in the world, and the longest in Africa. This type of cave is created…",Kenya,Africa
Taita Hills WWI Museum,"Occupying a corner of the lobby in the Sarova Taita Hills Game Lodge, this engaging little open-sided museum tells the story of WWI as it played out in…",Kenya,Africa
Shetani Caves,"Close to (and geologically part of) the Shetani Lava Flows, Shetani Caves are a result of volcanic activity. You’ll need a torch (flashlight) if you want…",Kenya,Africa
Kenana Knitters,What began as a hobby for three ladies knitting under a tree now employs more than 1200 local people and exports all over the world. The knitters use…,Kenya,Africa
Shipton's Caves,"Just before Shipton's Camp, along the Sirimon Route, you will find Shipton's Caves. You'll likely spend a night here to acclimatise, so ask your guide if…",Kenya,Africa
Aruba Dam,"Some 30km east of Voi gate is the Aruba Dam, which spans the Voi River. It also attracts heavy concentrations of diverse wildlife; one of the park’s…",Kenya,Africa
Nairobi Safari Walk,"Just outside the main entrance to Nairobi National Park, off Langata Rd, this safari walk is a sort of zoo-meets-nature-boardwalk, with lots of birds as…",Kenya,Africa
Marsabit National Park,"This small park, nestled on Mt Marsabit’s upper slopes, is coated in thick forest and contains a wide variety of wildlife, including leopards, elephants …",Kenya,Africa
Chania Falls,"The Chania Falls tumble over a rocky, tree-lined cliff, just in front of the restaurant of the Blue Post Hotel. The scene is delightfully appreciated from…",Kenya,Africa
Kipepeo Butterfly Farm,"Visit this butterfly centre on a Friday morning, and you might spot exotic pupae being packed for export to the UK and USA. The farm pays locals to…",Kenya,Africa
Shaba National Reserve,"Shaba, with its great rocky kopjes (isolated hills), natural springs and doum palms, is more physically beautiful than the nearby national reserves of…",Kenya,Africa
Vasco da Gama Pillar,More impressive for what it represents (the genesis of the Age of Exploration) than the edifice itself. Erected by the Portuguese explorer Vasco da Gama…,Kenya,Africa
Rhino Sanctuary,"A signposted hard right not long after entering Murera Gate takes you to Meru’s 48-sq-km Rhino Sanctuary, one of the best places in Kenya to see wild…",Kenya,Africa
Maasai Cattle Market,"If you're in the Amboseli area on a Tuesday, consider stopping in the town of Kimana (along the paved road between Emali and Oloitokitok) for its weekly…",Kenya,Africa
Kitengela Hot Glass,"Brave the suspension bridge and enjoy a stroll around the quirky, colourful grounds of Kitengela Hot Glass. There are regular glass blowing demonstrations…",Kenya,Africa
Arboretum,"Eight kilometres east of town, this tropical park is popular with weekend picnickers and colobus, vervet and red-tailed monkeys (best seen in the early…",Kenya,Africa
Out of Africa Lookout,"To get the best view that takes in much of the park, head up to the rocky Out of Africa Lookout. Less frequented by tour groups than the lower Baboon…",Kenya,Africa
Sudi Island,This uninhabited island on the far side of Mida Creek makes an interesting excursion. It is very green (at least during the rainy season) and there are…,Kenya,Africa
Red Hill Art Gallery,"The Red Hill Art Gallery is tucked away in the lush green hills of Limuru, just outside Nairobi. The space is devoted to African Art with a focus on…",Kenya,Africa
Circle Art Gallery,"One of Nairobi's better exhibition spaces for contemporary art, Circle Art Gallery is, unlike some other Nairobi galleries, more a gallery aimed at…",Kenya,Africa
Spice Market,"This market, which stretches along Nehru and Langoni Rds west of the Old Town, is an evocative, sensory overload – expect lots of jostling, yelling,…",Kenya,Africa
Baboon Cliffs,"This popular viewpoint and one-time lunch spot has superlative views out over the lake, with some fine aerial vistas down onto the flooded lake shore…",Kenya,Africa
Mombasa Marine National Park & Reserve,"The offshore Mombasa Marine National Park and Reserve has impressive marine life, although it cops some pollution from industry in the area. You can hire…",Kenya,Africa
Mandhry Mosque,"Founded in 1570, Mandhry Mosque in the Old Town is the city's oldest, and an excellent example of Swahili architecture, which combines the elegant…",Kenya,Africa
Mudanda Rock,"Towering over a natural dam near the Manyani gate, this towering natural formation runs for over 1.5km. It attracts elephants in the dry season and is…",Kenya,Africa
Kilifi Creek,"This might be the only place where we wouldn't mind being up the creek without a paddle. It's just gorgeous, from the cliffs jutting up out of the water,…",Kenya,Africa
Kenyatta Beach,"Busy with vacationing Kenyan families and snack sellers peddling their wares, Kenyatta Beach is the place to come if you're looking for a totally local…",Kenya,Africa
Taita Hills Wildlife Sanctuary,"The Taita Hills, a fertile area of verdant hills and scrub forest, is a far cry from the semi-arid landscape of Tsavo. Within the hills is the private…",Kenya,Africa
Sinet Delta,"From Normatior (Observation Hill), the northern route runs across the Sinet Delta, which is an excellent place for birdwatching. The vegetation is thicker…",Kenya,Africa
Kipini Wildlife Conservancy,"This low-key private coastal conservancy sits on the grounds of the failed Nairobi Cattle Ranch, and receives a trickle of international volunteers. There…",Kenya,Africa
Nyali Beach,"This attractive strip of white sand practically disappears at high tide – particularly its northern end. At the southern end of the beach, look out for…",Kenya,Africa
Crying Stone of Ilesi,"The Crying Stone of Ilesi is a local curiosity perched on a ridge 3km south of town. The formation, looking like a solemn head resting on weary shoulders,…",Kenya,Africa
Sheldrick Falls,"These pretty 21m-high falls are laced with lianas and greenery, and have a natural plunge pool. Free, two-hour, 2km walks, organised by the Kenya Wildlife…",Kenya,Africa
Kirepwe Island,Mida Eco-Camp organises day trips (KSh3500) to this quiet island just across the estuary. The ruins are atmospheric and you can visit a Giriama village…,Kenya,Africa
Obsidian Cave,"Close to the Elsa Gate end of the Buffalo Circuit, a side track leads for 2km to the Obsidian Cave, where you’ll find moderately interesting examples of…",Kenya,Africa
Bamburi Beach,"Lined with a couple dozen hotels, Bamburi Beach is a 6km stretch of palm-shaded white sand. Outside low tide, the waters are good for swimming, and there…",Kenya,Africa
Elephant Hill,"With the best viewpoint in the reserve, this hill is the place to see elephants. It affords lovely views out over the valley towards the ocean. Armed…",Kenya,Africa
Soysambu Conservancy,"This private conservancy offers quite extensive wildlife viewing, as well as camping. It is home to colobus monkeys, Rothschild's giraffes and about 450…",Kenya,Africa
Poacher's Lookout,"A short distance northwest of Severin Safari Camp, this hilltop vantage point offers fine views out over the park, and especially fine views west to the…",Kenya,Africa
Lirhanda Hill Lookout,"Depending on where you're staying, it can be about a five-hour return hike to Lirhanda Hill. Being there for sunrise or sunset is highly recommended.",Kenya,Africa
Lugards Falls,"One of the prettiest stretches along the Galana River, Lugards Falls is a wonderful landscape of water-sculpted channels and striated rocks.",Kenya,Africa
Buyangu Hill Lookout,"It's a 4km drive or walk from the park entrance to Buyangu Hill, from where there are uninterrupted views east to the Nandi Escarpment.",Kenya,Africa
Hot Springs & Geysers,"About halfway along the lake, hot springs and geysers spew boiling fluids from the earth’s insides.",Kenya,Africa
Marere Dam,"A watering hole that attracts animals, including elephants. Also a great birdwatching spot.",Kenya,Africa
Hippo Point Lookout,One of the best places in Nairobi National Park to see hippos.,Kenya,Africa
Hippo Pool,Nairobi National Park's main concentration of hippos.,Kenya,Africa
Lamu Fort,This squat castle was built by the Sultan of Paté between 1810 and 1823. From 1910 right up to 1984 it was used as a prison. It now houses the island’s…,Kenya,Africa
Sibiloi National Park,"A Unesco World Heritage Site, Sibiloi is located up the eastern shore of Lake Turkana and covers 1570 sq km. It was here that Dr Richard Leakey discovered…",Kenya,Africa
Swahili House,"This preserved 16th-century Swahili house, tucked away to the side of Yumbe Guest House, in a tranquil courtyard with a well, is beautiful. The entry fee…",Kenya,Africa
Chyulu Hills National Park,"One of Kenya’s least-visited parks, Chyulu Hills National Park is a line of pretty green hills that rise above the arid plains between Amboseli and Tsavo…",Kenya,Africa
Mt Kulal,Mt Kulal (2293m) dominates Lake Turkana’s eastern horizon and its forested volcanic flanks offer some serious hiking possibilities. This fertile lost…,Kenya,Africa
Central Island National Park,"Bursting from the depths of Lake Turkana, and home to thousands of living dinosaurs, is the Jurassic world of Central Island volcano, last seen belching…",Kenya,Africa
Crater Lake Game Sanctuary,"Surrounding a beautiful volcanic crater lake fringed with acacias, this small sanctuary has many trails, including one for hikers along the steep but…",Kenya,Africa
Ol Donyo Sabuk National Park,"This tiny park covers little more than 20 sq km and is built around the summit and slopes of Ol Donyo Sabuk (2146m), known by the Kikuyu as Kilimambongo …",Kenya,Africa
Kalama Community Wildlife Conservancy,"Eight kilometres north of Archer’s Post, and abutting the northern boundary of Samburu National Reserve, is this 384-sq-km wildlife conservancy, which…",Kenya,Africa
Grave of Denys Finch Hatton,"Close to Pt Lamwia, the summit of the range, is the grave of Denys Finch Hatton, the famous playboy and lover of Karen Blixen. The site, on private land,…",Kenya,Africa
Ngong Hills Racecourse,"Several Sundays a month, hundreds of Nairobi residents flee the noise and bustle of the city for the genteel surroundings of the Ngong Hills Racecourse,…",Kenya,Africa
Matondoni,"The best place to see dhows being built is the village of Matondoni, in the island's northwest. It’s a peaceful little fishing village that receives few…",Kenya,Africa
Lake Elmenteita,"Serene and framed by shaggy hills, Elmenteita is quieter and prettier than the lakes to its south, although its relatively open surrounds ensure that it…",Kenya,Africa
Uhuru Park,"An expanse of manicured green on the fringe of the central city, this attractive park is a popular respite from the downtown noise and bustle. It owes its…",Kenya,Africa
Lake Chala,"This deep, spooky crater lake straddling the border with Tanzania is a worthwhile detour en route south to Moshi. There are grand views across the plains…",Kenya,Africa
Snake Park,"In the grounds of the National Museum, the Snake Park has some impressive snake species, including the puff adder, black mamba, Egyptian cobra, African…",Kenya,Africa
Baden-Powell Museum,"Lord Baden-Powell, the founder of the Boy Scout Association, spent his last three years at Paxtu cottage in the Outspan Hotel, where this museum is…",Kenya,Africa
Thika Falls,"Smaller than Chania Falls, Thika Falls are still impressive to watch. Located on the Blue Post Hotel grounds, you can watch the falls while your kids play…",Kenya,Africa
Umoja Village,"There are a number of Samburu villages in the area that welcome paying visitors. Probably the best one is Umoja, which was originally founded as a refuge…",Kenya,Africa
Kitale Nature Conservancy,This place looks as if it was designed by Frankenstein after he converted to Christianity and dropped acid. Though you could come here for the picnic…,Kenya,Africa
Mwea National Reserve,"In contrast to the rich greens that characterise so much of the highlands, this reserve is set in a dry depression that is nonetheless beautiful in a…",Kenya,Africa
Animal Orphanage,"Just inside the main gate to Nairobi National Park, this animal orphanage houses formerly wild animals that have been recovered by park rangers. Although…",Kenya,Africa
Parliament House,"If you fancy a look at how democracy works in Kenya, it’s possible to obtain a free permit for the public gallery at Parliament House when parliament is…",Kenya,Africa
Lake Jipe,This lake (pronounced ji-pay) lies at the extreme southwestern end of the park and is reached by a desperately dusty track from near Taveta. You can hire…,Kenya,Africa
Mamba Village Crocodile Farm,"This is the largest reptile farm in Kenya, with guided tours taking you past several pools where you can see the crocs in various stages of development:…",Kenya,Africa
Kongo Mosque,At the far northern end of the beach road (follow the faded sign behind the Jacaranda Resort) is the 16th-century Kongo Mosque – Diani’s last surviving…,Kenya,Africa
Karura Forest,"Karura Forest is a firm favourite among locals for walking, cycling, running and horse riding under its shady green canopy. The Sigiria entrance now has a…",Kenya,Africa
Slave Caves,These caves are where slaves were supposedly kept before being loaded onto boats and shipped to Zanzibar. A custodian takes you around the dank caverns to…,Kenya,Africa
Kariandusi,Kariandusi is signposted off the A104 Hwy near Lake Elmenteita. It was here in the 1920s that the Leakeys (a family of renowned archaeologists) discovered…,Kenya,Africa
Jamia Mosque,"Amid the clutter of downtown, Nairobi’s main mosque is a lovely building in typical Arab-Muslim style, with all the domes, marble and Quranic inscriptions…",Kenya,Africa
National Archives,"Right in the bustling heart of Nairobi is the distinctive National Archives, the ‘Memory of the Nation’, a vast collection of documents and reference…",Kenya,Africa
American Embassy Memorial Garden,"This well-tended walled garden occupies the former site of the American embassy, which was destroyed by terrorist bombings on 7 August 1998. It’s a lovely…",Kenya,Africa
Rimoi National Reserve,"Rimoi cradles the southern half of Kerio Valley National Park. It can be accessed from Iten or Eldoret, and fairly easily from Lake Baringo 80km away if…",Kenya,Africa
Malindi Museum,"Part of the Malindi Historic Circuit, this moderately interesting museum has some displays on underwater arachaeology along the Kenyan coast. Upstairs,…",Kenya,Africa
Lake Oloiden,"Lake Naivasha may be a freshwater lake, but it is the alkaline waters of its near neighbour Lake Oloiden that draw small but impressive flocks of…",Kenya,Africa
Portuguese Church,"This thatched-roofed church gets its name because Portuguese explorer Vasco da Gama is reputed to have erected it in the 15th century, and two of his crew…",Kenya,Africa
Lamu Market,"Atmospheric and somewhat chaotic, this quintessential Lamu market is best visited early in the morning. Bargain for fresh tuna and sailfish, wade through…",Kenya,Africa
Buffalo Springs National Reserve,"The twin sister of Samburu National Reserve, which sits on the opposite, northern side of the river, Buffalo Springs has a wide variety of animals,…",Kenya,Africa
Kirstenbosch National Botanical Garden,"Location and unique flora combine to make these 5.28-sq-km botanical gardens among the most beautiful in the world. Gate 1, the main entrance at the…",South Africa,Africa
Constitution Hill,"Do not leave Jo'burg without visiting Constitution Hill. One of South Africa's most important historical sites, the deeply moving and inspirational…",South Africa,Africa
Kruger National Park,"In terms of wildlife alone, Kruger is one of the world's greatest national parks. The diversity, density and sheer numbers of animals is almost…",South Africa,Africa
Apartheid Museum,"The Apartheid Museum illustrates the rise and fall of South Africa’s era of segregation and oppression, and is an absolute must-see. It uses a broad…",South Africa,Africa
Blyde River Canyon Nature Reserve,"This stunning 260-sq-km reserve centres on the 30km-long Blyde River Canyon, where epic rock formations tower above the forested slopes and eagle-eye…",South Africa,Africa
Table Mountain,"Around 600 million years old, and a canvas painted with the rich diversity of the Cape floral kingdom, Table Mountain is truly iconic. You can admire the…",South Africa,Africa
Three Rondavels Viewpoint,"The area's highlight, with a staggering view of these enormous rounds of rock, their pointed, grassy tops resembling giant huts carved into the side of…",South Africa,Africa
Mapungubwe National Park,"Stunningly stark, arid, rocky landscapes reverberate with cultural intrigue and wandering wildlife at Mapungubwe National Park. A Unesco World Heritage…",South Africa,Africa
Big Hole,"Although the R50 million that turned the Big Hole into a world-class tourist destination came from De Beers, touring the world’s largest hand-dug hole…",South Africa,Africa
Babylonstoren,"This 2.5-sq-km wine and fruit farm is on the north slope of the Simonsberg mountain between Klapmuts and Paarl. Its highlight is an 800-sq-metre, formally…",South Africa,Africa
District Six Museum,"It's impossible not to be emotionally moved by this museum, which celebrates the once lively multiracial area that was destroyed during apartheid in the…",South Africa,Africa
Groot Constantia,"Simon van der Stel’s manor house, a superb example of Cape Dutch architecture, is maintained as a museum at Groot Constantia. Set in beautiful grounds,…",South Africa,Africa
Meerendal,"Although it was established in 1702 and has some of South Africa's oldest pinotage and shiraz vineyards, as well as a handsome Cape Dutch homestead,…",South Africa,Africa
Freedom Park,This stunning park and museum honours fallen South Africans in all major conflicts and adopts an integrated approach to African history. It is a place of…,South Africa,Africa
La Motte,"There’s enough to keep you occupied for a full day at this vast estate just west of Franschhoek. As well as tastings of the superb shiraz range, wine…",South Africa,Africa
Boschendal,"This is a quintessential Winelands estate, with lovely architecture, food and wine. Tasting options include bubbly, brandy or wine and chocolate pairing…",South Africa,Africa
Confluence Viewpoints,"Four wonderfully sited viewing decks sit atop the cliffs and allow for uninterrupted views out over the river plain, the Limpopo and Shashe Rivers and…",South Africa,Africa
Bloubergstrand,The beaches beside this pleasant coastal suburb are where the British won their 1806 battle for the Cape. The panoramic view they provide of Table…,South Africa,Africa
Sea Point Promenade,"Strolling along Sea Point’s wide, paved and grassy promenade is a pleasure shared by Capetonians from all walks of life. Once a white-only area, it’s now…",South Africa,Africa
Valley of Desolation,"The park’s most popular sight, the Valley of Desolation is a hauntingly beautiful valley with outstanding views – the rugged, piled dolerite columns are…",South Africa,Africa
Buitenverwachting,"Buitenverwachting means ‘beyond expectation’, which is certainly the feeling one gets on visiting this Cape Dutch estate. It's a lovely estate to visit…",South Africa,Africa
Walker Bay Nature Reserve,"This coastal reserve has excellent hikes and is a prime birdwatching spot. The main attractions though, other than the ocean vistas, are the impressive…",South Africa,Africa
Spice Route,"Spice Route is known for its complex red wines, particularly the Flagship syrah. Aside from wine there is a lot going on, including glass-blowing…",South Africa,Africa
Spier Hotel and Wine Farm,"Spier has some excellent shiraz, cabernet and red blends, though a visit to this vast winery is less about wine and more about the other activities…",South Africa,Africa
Sterkfontein Caves,"One of the most significant archaeological sites in the world, Sterkfontein Caves include a permanent hominid exhibit and a walkway down into the…",South Africa,Africa
South African Astronomical Observatory,"During the day you can take a guided tour of the huge research telescopes, including the Southern African Large Telescope, but it's the two-hour night…",South Africa,Africa
Bourke’s Luck Potholes,"These bizarre cylindrical holes were carved into the rock by whirlpools at the confluence of the Blyde and Treur Rivers. Bridges span the rivers,…",South Africa,Africa
